Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3907949,SA_0000001445,COUNTRY,TZA,YEAR,AFR,Africa,,,2002,,,,,,,6.40,6.4,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8176433,SA_0000001445,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,3.7,3.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4805609,SA_0000001445,COUNTRY,MLT,YEAR,EUR,Europe,SEX,SEX_MLE,2004,,,,,,,3.1,3.1,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9035333,SA_0000001445,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_FMLE,2004,,,,,,,3.0,3.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9979913,SA_0000001445,COUNTRY,PRK,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2004,,,,,,,13.2,13.2,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7937332,SA_0000001445,COUNTRY,MCO,YEAR,EUR,Europe,SEX,SEX_BTSX,2004,,,,,,,5.5,5.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1811830,SA_0000001445,COUNTRY,KEN,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,5.1,5.1,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7835759,SA_0000001445,COUNTRY,HUN,YEAR,EUR,Europe,,,2002,,,,,,,5.50,5.5,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7671758,SA_0000001445,COUNTRY,CHE,YEAR,EUR,Europe,SEX,SEX_MLE,2004,,,,,,,7.2,7.2,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
8637143,SA_0000001445,COUNTRY,COG,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,34.5,34.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
